symbol,market,type,currency,name_en,name_cn,aliases
BTC-USD,crypto,crypto,USD,Bitcoin,比特币,bitcoin
ETH-USD,crypto,crypto,USD,Ethereum,以太坊,ethereum
USDT-USD,crypto,crypto,USD,Tether,泰达币,tether
BNB-USD,crypto,crypto,USD,BNB,币安币,binancecoin
USDC-USD,crypto,crypto,USD,USDC,USD Coin,usd-coin
XRP-USD,crypto,crypto,USD,XRP,瑞波币,ripple
SOL-USD,crypto,crypto,USD,Solana,索拉纳,solana
TRX-USD,crypto,crypto,USD,TRON,波场,tron
FIGR_HELOC-USD,crypto,crypto,USD,Figure Heloc,,figure-heloc
HYPE-USD,crypto,crypto,USD,Hyperliquid,,hyperliquid
DOGE-USD,crypto,crypto,USD,Dogecoin,狗狗币,dogecoin
USDS-USD,crypto,crypto,USD,USDS,,usds
RAIN-USD,crypto,crypto,USD,Rain,,rain
LEO-USD,crypto,crypto,USD,LEO Token,,leo-token
ZEC-USD,crypto,crypto,USD,Zcash,,zcash
ADA-USD,crypto,crypto,USD,Cardano,卡尔达诺,cardano
XMR-USD,crypto,crypto,USD,Monero,,monero
WBT-USD,crypto,crypto,USD,WhiteBIT Coin,,whitebit
LINK-USD,crypto,crypto,USD,Chainlink,Chainlink,chainlink
XLM-USD,crypto,crypto,USD,Stellar,恒星币,stellar
DAI-USD,crypto,crypto,USD,Dai,,dai
BCH-USD,crypto,crypto,USD,Bitcoin Cash,比特币现金,bitcoin-cash
USD1-USD,crypto,crypto,USD,USD1,,usd1-wlfi
USDE-USD,crypto,crypto,USD,Ethena USDe,,ethena-usde
CC-USD,crypto,crypto,USD,Canton,,canton-network
GRAM-USD,crypto,crypto,USD,Gram (prev. Toncoin),,the-open-network
LTC-USD,crypto,crypto,USD,Litecoin,莱特币,litecoin
USDG-USD,crypto,crypto,USD,Global Dollar,,global-dollar
HBAR-USD,crypto,crypto,USD,Hedera,,hedera-hashgraph
USYC-USD,crypto,crypto,USD,Circle USYC,,hashnote-usyc
SUI-USD,crypto,crypto,USD,Sui,,sui
AVAX-USD,crypto,crypto,USD,Avalanche,雪崩,avalanche-2
PYUSD-USD,crypto,crypto,USD,PayPal USD,,paypal-usd
SHIB-USD,crypto,crypto,USD,Shiba Inu,柴犬币,shiba-inu
BUIDL-USD,crypto,crypto,USD,BlackRock USD Institutional Digital Liquidity Fund,,blackrock-usd-institutional-digital-liquidity-fund
XAUT-USD,crypto,crypto,USD,Tether Gold,,tether-gold
UNI-USD,crypto,crypto,USD,Uniswap,Uniswap,uniswap
CRO-USD,crypto,crypto,USD,Cronos,,crypto-com-chain
NEAR-USD,crypto,crypto,USD,NEAR Protocol,NEAR,near
USDY-USD,crypto,crypto,USD,Ondo US Dollar Yield,,ondo-us-dollar-yield
TAO-USD,crypto,crypto,USD,Bittensor,,bittensor
OKB-USD,crypto,crypto,USD,OKB,,okb
PAXG-USD,crypto,crypto,USD,PAX Gold,,pax-gold
ONDO-USD,crypto,crypto,USD,Ondo,,ondo-finance
WLFI-USD,crypto,crypto,USD,World Liberty Financial,,world-liberty-financial
ASTER-USD,crypto,crypto,USD,Aster,,aster-2
HTX-USD,crypto,crypto,USD,HTX DAO,,htx-dao
RLUSD-USD,crypto,crypto,USD,Ripple USD,,ripple-usd
USDD-USD,crypto,crypto,USD,USDD,,usdd
M-USD,crypto,crypto,USD,MemeCore,,memecore
USDF-USD,crypto,crypto,USD,Falcon USD,,falcon-finance
AAVE-USD,crypto,crypto,USD,Aave,,aave
MNT-USD,crypto,crypto,USD,Mantle,,mantle
DOT-USD,crypto,crypto,USD,Polkadot,波卡,polkadot
BFUSD-USD,crypto,crypto,USD,BFUSD,,bfusd
SKY-USD,crypto,crypto,USD,Sky,,sky
MORPHO-USD,crypto,crypto,USD,Morpho,,morpho
PEPE-USD,crypto,crypto,USD,Pepe,,pepe
ICP-USD,crypto,crypto,USD,Internet Computer,,internet-computer
U-USD,crypto,crypto,USD,United Stables,,united-stables
BEAT-USD,crypto,crypto,USD,Audiera,,audiera
WLD-USD,crypto,crypto,USD,Worldcoin,,worldcoin-wld
USDGO-USD,crypto,crypto,USD,USDGO,,usdgo
BGB-USD,crypto,crypto,USD,Bitget Token,,bitget-token
PUMP-USD,crypto,crypto,USD,Pump.fun,,pump-fun
EURSAFO-USD,crypto,crypto,USD,Spiko Amundi Overnight Swap Fund (EUR),,spiko-amundi-overnight-swap-fund-eur
ETC-USD,crypto,crypto,USD,Ethereum Classic,以太经典,ethereum-classic
PI-USD,crypto,crypto,USD,Pi Network,,pi-network
USTB-USD,crypto,crypto,USD,Invesco Short Duration US Government Securities Fund,,superstate-short-duration-us-government-securities-fund-ustb
BCAP-USD,crypto,crypto,USD,Blockchain Capital,,blockchain-capital
EUTBL-USD,crypto,crypto,USD,Spiko EU T-Bills Money Market Fund,,eutbl
KCS-USD,crypto,crypto,USD,KuCoin,,kucoin-shares
JTRSY-USD,crypto,crypto,USD,Janus Henderson Anemoy Treasury Fund,,janus-henderson-anemoy-treasury-fund
ENA-USD,crypto,crypto,USD,Ethena,,ethena
QNT-USD,crypto,crypto,USD,Quant,,quant-network
JST-USD,crypto,crypto,USD,JUST,,just
POL-USD,crypto,crypto,USD,POL (ex-MATIC),,polygon-ecosystem-token
STABLE-USD,crypto,crypto,USD,​​Stable,,stable-2
ALGO-USD,crypto,crypto,USD,Algorand,,algorand
NEXO-USD,crypto,crypto,USD,NEXO,,nexo
KAS-USD,crypto,crypto,USD,Kaspa,,kaspa
ATOM-USD,crypto,crypto,USD,Cosmos Hub,宇宙,cosmos
GT-USD,crypto,crypto,USD,Gate,,gatechain-token
BDX-USD,crypto,crypto,USD,Beldex,,beldex
GHO-USD,crypto,crypto,USD,GHO,,gho
JAAA-USD,crypto,crypto,USD,Janus Henderson Anemoy AAA CLO Fund,,janus-henderson-anemoy-aaa-clo-fund
RENDER-USD,crypto,crypto,USD,Render,,render-token
YLDS-USD,crypto,crypto,USD,YLDS,,ylds
JUP-USD,crypto,crypto,USD,Jupiter,,jupiter-exchange-solana
LIT-USD,crypto,crypto,USD,Lighter,,lighter
FIL-USD,crypto,crypto,USD,Filecoin,Filecoin,filecoin
VVV-USD,crypto,crypto,USD,Venice Token,,venice-token
USD0-USD,crypto,crypto,USD,Usual USD,,usual-usd
XDC-USD,crypto,crypto,USD,XDC Network,,xdce-crowd-sale
FLR-USD,crypto,crypto,USD,Flare,,flare-networks
ARB-USD,crypto,crypto,USD,Arbitrum,Arbitrum,arbitrum
币安人生-USD,crypto,crypto,USD,币安人生 (BinanceLife),,bianrensheng
USX-USD,crypto,crypto,USD,USX,,usx
APT-USD,crypto,crypto,USD,Aptos,Aptos,aptos
TUSD-USD,crypto,crypto,USD,TrueUSD,,true-usd
A7A5-USD,crypto,crypto,USD,A7A5,,a7a5
CAKE-USD,crypto,crypto,USD,PancakeSwap,,pancakeswap-token
